title,security,nature,nutritional_value,quality,rate,site,page
"""Раменский деликатес"" ""Сервелат Коньячный""",74,80,28,66,62,http://Росконтроль.рф,http://Росконтроль.рф/product/ramenskiy-delikates-servelat-konyachniy/
"""БахрушинЪ"", ""Сервелат Коньячный""",64,35,0,59,40,http://Росконтроль.рф,http://Росконтроль.рф/product/bahrushin-servelat-konyachniy/
"Колбаса полукопченая ""Мираторг"", ""Краковская"", категория Б",77,65,0,58,50,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-polukopchenaya-miratorg-krakovskaya-kategoriya-b/
"""Велком"", сервелат финский",58,12,0,36,27,http://Росконтроль.рф,http://Росконтроль.рф/product/velkom-servelat-finskiy/
"""Рублевский"", сервелат финский",54,55,0,53,41,http://Росконтроль.рф,http://Росконтроль.рф/product/rublevskiy-servelat-finskiy/
"""Останкино / Папа может"", сервелат финский",68,3,0,16,22,http://Росконтроль.рф,http://Росконтроль.рф/product/ostankino-papa-moget-servelat-finskiy/
"""Останкино"" ""Сервелат Коньячный""",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/ostankino-servelat-konyachniy/
"""Микоян"" ""Сервелат Коньячный""",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/mikoyan-servelat-konyachniy/
"""Ремит"" ""Сервелат Коньячный""",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/remit-servelat-konyachniy/
"Колбаса полукопченая ""Велком"", ""Краковская"", категория Б",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-polukopchenaya-velkom-krakovskaya-kategoriya-b/
"Колбаса полукопченая ""БахрушинЪ"", ""Краковская"", категория Б",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/bahrushin-krakovskaya/
"Колбаса полукопченая ""Мясной дом Бородина"", ""Краковская"", категория Б",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-polukopchenaya-myasnoy-dom-borodina-krakovskaya-kategoriya-b/
"Колбаса полукопченая ""Дымов"", ""Краковская"", категория Б",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/dimov-krakovskaya/
"Колбаса полукопченая ""Ближние горки"", ""Краковская"", категория Б",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/blignie-gorki-krakovskaya/
"""Мясной дом Бородина"", сервелат финский",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/myasnoy-dom-borodina-servelat-finskiy/
"Колбаса ""Окраина"" ""Московская""",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/okraina-moskovskaya/
"Колбаса ""Останкино"" ""Московская""",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/ostankino-moskovskaya/
"Колбаса ""Ремит"", сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/remit-servelat/
"Колбаса ""Ближние горки"", сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-blignie-gorki-servelat/
"Колбаса ""Черкизово"", сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/cherkizovskiy-servelat/
"Колбаса ""Велком"", сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/kolbasa-velkom-servelat/
"Колбаса ""Клинский"", сервелат",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/servelat-finskiy/
"Колбаса варено-копченая ""Микоян"", Сервелат Кремлевский",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/mikoyan-servelat-kremlevskiy/
"Колбаса полукопченая ""Еремкина Т. П."", Краковская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/krakovskaya-1/
"Колбаса варено-копченая ""Мясновъ / Черкизово"", ""Московия Мяснов""",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/myasnov-cherkizovo-moskoviya-myasnov/
"Колбаса варено-копченая ""Сетунь"", Московская Сетунь",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/setun-moskovskaya/
"Колбаса варено-копченая ""Велком"", Московская",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/velkom-moskovskaya/
"""Лента"" ""Сервелат Коньячный""",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/lenta-servelat-konyachniy/
"ВкусВилл, ""Сервелат Коньячный""",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/vkusvill-servelat-konyachniy/
"Колбаса полукопченая ""Мясницкий ряд"", ""Краковская"", категория Б",-1,-1,-1,-1,-1,http://Росконтроль.рф,http://Росконтроль.рф/product/myasnitskiy-ryad-krakovskaya/
